id,english_text,human_bengali_reference
20,Doctors who wish to honor their Hippocratic Oath have to hope that their hospital management has the same ideal of keeping the good of the patient as the highest priority.,ডাক্তাররা যারা নিজেদের শপথ রক্ষা করতে চায় তাদেরকে দেখতে হবে তাদের হাসপাতাল কর্তৃপক্ষেরও রোগীদের ভালমন্দের চিন্তা যেন সর্বাগ্রে থাকে।
21,"And their wives will weep tears of blood.""","এবং তাদের স্ত্রীরা রক্তের অশ্রু ক্রন্দন করবে।"""
22,"Uganda's Daily Monitor reports that the Minister of Disaster Preparedness Tarsis Kabwegyere is ""still seeking medical interpretation as to the actual cause of death"" of the famine victims.","উগান্ডার ডেইলি মনিটর এক রিপোর্টে জানাচ্ছে, দুর্যোগ মোকাবেলা মন্ত্রী তারসিস কাবওয়েগইয়ারার কারণ খুঁজছেন দুর্ভিক্ষে যারা মারা গেছেন তারা কেন মরেছেন।"
23,"I am an Iranian Kurd, and a doctor.",আর একজন ডাক্তার ও..
24,"Get into medical school.""","মেডিকেল স্কুলে ভর্তি হওয়া."""
25,"Last, but not least, the FrontAIDS project based in St. Petersburg, Russia will use citizen media to monitor accessibility to treatment for people living with HIV, AIDS, hepatitis, and TB in 20 regions around Russia.","পরিশেষে রয়েছে ফ্রন্টএইডস প্রজেক্ট যা রাশিয়ার সেন্ট পিটার্সবার্গে নাগরিক মিডিয়া ব্যবহার করবে রাশিয়ার আশেপাশে ২০টা এলাকায় যে সব লোক এইচআইভি, হেপাটাইটিস আর টিবিতে আক্রান্ত তারা চিকিৎসা সেবা পাচ্ছে কি না দেখার জন্য।"
26,It said it merely advised the public that eating less white rice reduces the risk of diabetes.,"আবার শুধু ভাত খাওয়ার কারণে ডায়াবেটিস হয়, এমন কথাও বলেননি। তারা জনগণকে বলেছেন সাদা ভাত কম খেতে।"
27,Some of the topics we have discussed are quite contentious such as the treatment of domestic workers in our culture. These are topics we often talk about among friends and in our homes but not always in the open.,"কিছু কিছু বিষয় আমাদের সংস্কৃতিতে খুবই বিতর্কিত যেমন গৃহকর্মীদের সাথে আচরণ, এ বিষয়গুলো নিয়ে আমরা আলোচনা করেছি।"
28,"Since most of the defendants are in their 70s and 80s and not in particularly good health, there is a great deal of concern that some could die before trials begin.","যেহেতু বেশীরভাগ বিবাদী ৭০ আর ৮০ বছর বয়সের মধ্যে আর স্বাস্থ্য খুব ভালো না, তাই বেশ চিন্তা আছে যে এদের অনেকে বিচার শুরু হওয়ার আগেই মারা যাবে।"
29,Koblyakov appeared to be in good health and said he was treated well.,বরং এটি ছিল ইন্টারপোলের মস্কো ব্যুরো থেকে আসা একটি সরাসরি অনুরোধ।
30,"awoolham: Yellow stands for than shwe (author’s note: the leader of Myanmar), green stands for cash, red stands for blood of the people.","আউলহাম: এখানে হলুদ রঙ শোয়েকে উপস্থাপন করছে (লেখকের ভাষ্য: থান শোয়ে মায়ানমারের শাসক), পতাকায় যে সবুজ রঙ রয়েছে সেটির মানে টাকা এবং আর এখানে উপস্থিত লাল রঙ জনতার রক্ত।"
31,You're losing blood!,তুমি অনেক রক্ত হারিয়েছো!
32,"Glory me, blood bag!","গর্ব করো, রক্তের পোঁটলা !"
33,"How much blood was on that seat, would you say?",ড্রাইভিং সীটে কতোটুকু রক্ত ছিলো?
34,The patient claims that afterall these years she doesn't feel the jinn around herand she feels fýne.,রোগী দাবি করে যে ... ... সে এখন আর সেই জ্বীনকে তার পাশে কোথাও অনুভব করছে না আর সে ভালোই আছে।
35,"I recall reading 100 Years of Solitude when my father was in hospital 10 years ago shortly before he passed away — שחררו את פלסטין (@SultanAlQassemi) April 17, 2014",১০ বছর আগে “নির্জনতার এক শত বছর” পড়ার কথা মনে পড়ছে। তখন আমার বাবার মৃত্যুর অল্পকাল পূর্বে আমি হাসপাতালে ছিলাম।
36,Also was this just his excuse to wear a Burka instead of the hospital mask to cover his face?,আর হাস্পাতালের মাস্কের বদলে বোরখা পরে মুখ ঢাকার এটা কি তার নতুন বাহানা?
37,"Quotas are currently being issued in St. Petersburg and Leningrad region on Wednesdays, in the courtyard at 24 Rudnev St., from 10 AM till noon, at the Orthopedics and Traumatology Medical Center.","সেইন্ট পিটার্সবার্গ আর লেলিনগ্রাদ অঞ্চলের জন্য কোটা বরাদ্দ হয় বুধবারে, ২৪ রুটনেভ স্ট্রিটের আদালত প্রাঙ্গনে অর্থোপেডিক্স এবং ট্রমাটোলজি মেডিক্যাল সেন্টারে, সকাল ১০ থেকে দুপুর পর্যন্ত।"
38,"Say : "" Shall I point out to you something much worse than this , ( as judged ) by the treatment it received from Allah ? those who incurred the curse of Allah and His wrath , those of whom some He transformed into apes and swine , those who worshipped evil ; - these are ( many times ) worse in rank , and far more astray from the even path ! ""","বলুনঃ আমি তোমাদেরকে বলি , তাদের মধ ্ যে কার মন ্ দ প ্ রতিফল রয়েছে আল ্ লাহর কাছে ? যাদের প ্ রতি আল ্ লাহ অভিসম ্ পাত করেছেন , যাদের প ্ রতি তিনি ক ্ রোধাম ্ বিত হয়েছেন , যাদের কতককে বানর ও শুকরে রূপান ্ তরিত করে দিয়েছেন এবং যারা শয়তানের আরাধনা করেছে , তারাই মর ্ যাদার দিক দিয়ে নিকৃষ ্ টতর এবং সত ্ যপথ থেকেও অনেক দূরে ।"
39,"Addressing a crowd of university graduates, Fang said he decided to quit his job as university president because the heavy workload had taken a toll on his health.","বিশ্ববিদ্যালয়ের স্নাতকদের ভীরে ফ্যাং বলেছেন তিনি বিশ্ববিদ্যালয়ের প্রেসিডেন্ট পদ থেকে পদত্যাগ করার সিদ্ধান্ত নিয়েছেন। এর কারন হিসেবে তিনি বলেছেন, প্রচন্ড কাজের চাপ তাঁর স্বাস্থ্যের ওপর খুব বিরূপ প্রতিক্রিয়া ফেলছে।"
40,Medical student,মেডিকেল ছাত্রী
41,Just a drop of blood.,শুধু একটা ফোঁটা ।
42,"And our health care system is too dubious, that it is quite scary to let a child undergo a mass blood test.","এবং আমাদের স্বাস্থ্যসেবা পদ্ধতি অনেক জটিল, এর ফলে ব্যাপক রক্ত পরীক্ষা করতে গিয়ে একটা শিশু বেশ ভয় পেতে পারে।"
43,"Although the government promises them better access to jobs, education, and health care in these villages, Human Rights Watch researchers found little or no evidence of these services.","যদিও সরকার এই গ্রামগুলোতে তাদেরকে কর্ম, শিক্ষা ও স্বাস্থ্যের উন্নত সুযোগ দেয়ার অঙ্গীকার করেছে, মানবাধিকার গবেষকগণ এই সুবিধাগুলোর কোন প্রমাণ পান নি বললেই চলে।"
44,"Just recall the time when your Lord said to the angels , "" I am going to appoint a vicegerent on the Earth . "" They humbly enquired , "" Are you going to appoint such a one as will cause disorder and shed blood on the Earth ?","আর তোমার পালনকর ্ তা যখন ফেরেশতাদিগকে বললেনঃ আমি পৃথিবীতে একজন প ্ রতিনিধি বানাতে যাচ ্ ছি , তখন ফেরেশতাগণ বলল , তুমি কি পৃথিবীতে এমন কাউকে সৃষ ্ টি করবে যে দাঙ ্ গা-হাঙ ্ গামার সৃষ ্ টি করবে এবং রক ্ তপাত ঘটাবে ? অথচ আমরা নিয়ত তোমার গুণকীর ্ তন করছি এবং তোমার পবিত ্ র সত ্ তাকে স ্ মরণ করছি । তিনি বললেন , নিঃসন ্ দেহে আমি জানি , যা তোমরা জান না ।"
45,Reporters Without Borders is 'very worried about the state of health of eight women prisoners of conscience who began a hunger strike five days ago in protest against inhuman and degrading jail conditions'.,রিপোর্টারস উইদাউট বর্ডারস 'জেলের অমানবিক এবং অধ:পতিত পরিস্থিতির প্রতিবাদে পাঁচ দিন আগে অনশন শুরু করা বিবেকের বন্দী আটজন নারীর স্বাস্থ্যের অবস্থা সম্পর্কে খুবই উদ্বিগ্ন।
46,Blood to be spilled?,রক্তপাত?
47,"Still in the UAE, e3ashig, a doctor, shares his resolutions for the new year here.",সংযুক্ত আরব আমিরাতের একজন ডাক্তার ই৩য়াশিগ তার নতুন বছরের সংকল্পের কথা জানিয়েছেন।
48,To spread the virus in the society.,সমাজে ভাইরাস ছড়ানোর কাজে...
49,"But for artists depicting the holy month in Syria - blood, violence and helplessness are the only words that seem to fit.","এ সময় পরিবার ও সম্প্রদায়ের লোকজন আনন্দের সাথে তাদের দৈনন্দিন ইফতারি এবং প্রার্থনা করতে একত্রিত হয়। কিন্তু শিল্পীরা সিরিয়ায় এই পবিত্র মাসের এক ভিন্ন চিত্র বর্ণনা করেছেন - যেখানে রক্ত, সহিংসতা ও অনাশ্রয় শব্দগুলোই যেন এখন বেশি প্রযোজ্য।"
50,"But Virus said it's an impractical design, it won't fly","কিন্তু ভাইরাস যে বলল একটা অবাস্তব ডিজাইন, উড়বেইনা।"
51,"Homs, one of the first revolutionary Syrian cities to revolt against the tyranny of Bashar Al Assad, along with 14 neighborhoods and districts of the old city, including Baba Amr, Bab Sbaa, Khalidiya and Deir Balba, has been subjected to bombardment by the Syrian regime, shelling and raids for more than two years, making the daily survival even harder as food and medical supplies dwindle.","বাবা আমর, বাব সাবা, খালিদিয়া ও দেইর বালবা সহ শহরটির জেলাগুলো এবং হোমসের আশেপাশের ১৪ টি প্রতিবেশী শহরে গত দু’বছরের বেশী সময় ধরে সিরিয়ার শাসনতন্ত্র অবাধে বোমা বর্ষণ, গোলা নিক্ষেপ এবং গ্রেপ্তার ও লুণ্ঠনের জন্য হানা দিচ্ছে। এমনকি খাবার ও ঔষধ সরবরাহকে কমিয়ে দিয়ে সেখানে টিকে থাকাকে প্রতিনিয়ত আরো কঠিন করে তুলছে।"
52,"This will be a cheap alternative to the currently available vaccines and two-thirds of the 250,000 people involved in the trial will receive two doses of the Indian-made vaccine and the rest will receive a placebo.","এটা বর্তমানে সহজলভ্য টিকার সস্তা বিকল্প হবে আর এই ২৫০,০০০ জনের মধ্যে পরীক্ষার ক্ষেত্রে দুই তৃতীয়াংশ লোক ভারতে তৈরি টিকাটির দুই ডোজ করে পাবেন আর বাকিরা একটা প্লাসেবো পাবেন।"
53,You're not a doctor.,তুমি ডাক্তার না।
54,"Cutting people off, and using medical jargons to make us look dumb.","তাদের থামাও , তারা আমাদের বিরুদ্ধে অপপ্রচার চালাচ্ছে।"
55,"So they turned away from him , and departed ( for fear of the disease ) .",সুতরাং তারা তাঁর কাছ থেকে বিমুখ হয়ে ফিরে গেল ।
56,"In a Press conference, Saleh declared that he is fine and doesn't need any medical treatment, he plans to travel to the US to be away from Yemen during the elections.","এক সংবাদ সম্মেলনে সালেহ ঘোষণা করেন, তিনি এখন সুস্থ এবং তাঁর আর কোন ধরনের চিকিৎসার দরকার নেই। নির্বাচনের সময় ইয়েমেন থেকে দুরে থাকার জন্য তিনি যুক্তরাষ্ট্রে ভ্রমণের পরিকল্পনা করেছেন।"
57,Victims of two deadly bomb blasts in Kampala wait for treatment at Mulago Hospital.,কাম্পালার ভয়াবহ বোমা বিস্ফোরণে আহত দুই ব্যক্তি মুলাগো হাসপাতালে চিকিৎসার জন্য অপেক্ষা করছে।
58,"Doctor, you wanted to see me?","ডাক্তার, আমাকে ডেকেছেন?"
59,"The former doctor and Northern Alliance resistance fighter almost won the presidential elections in the first round, only to have his lead turned upside down in the second.",সাবেক ডাক্তার এবং উত্তরাঞ্চলীয় জোটের এই যোদ্ধা প্রেসিডেন্ট নির্বাচনের প্রথম দফা ভোটে প্রায় জিতেই গিয়েছিলেন।
60,"Dengue comes in four serotypes, and while Sanofi's treatment did well against variants 1, 3 and 4, it charted just 34.7% efficacy in serotype 2, missing statistical significance in one of Asia's most common forms of the disease.","ডেঙ্গু মূলত চারটি প্রজাতি থেকে আসে এবং সানোফির চিকিত্সা ধরন ১,৩ ও ৪ নং এর বিরুদ্ধে ভাল। কিন্ত ২ নং সেরোটাইপের ক্ষেত্রে এর কার্যক্ষমতা মাত্র ৩৪. ৭%।"
61,"We bestowed ( the same wisdom , judgement and knowledge ) upon Job . Recall , when he cried to his Lord : "" Behold , disease has struck me and You are the Most Merciful of those that are merciful . ""","এবং স ্ মরণ করুন আইয় ্ যুবের কথা , যখন তিনি তাঁর পালনকর ্ তাকে আহবান করে বলেছিলেনঃ আমি দুঃখকষ ্ টে পতিত হয়েছি এবং আপনি দয়াবানদের চাইতেও সর ্ বশ ্ রেষ ্ ট দয়াবান ।"
62,"The doctor said, because of the torture and prison conditions.","ডাক্তার বললো, জেলের পরিবেশ এবং তাদের নির্যাতনের কারণে.."
63,"Therefore be patient ( O dear Prophet Mohammed peace and – blessings be upon him ) , undoubtedly Allah s promise ’ is true , and seek forgiveness for the sins of your own people , and praising your Lord , proclaim His Purity morning and evening .","অতএব , আপনি সবর করুন নিশ ্ চয় আল ্ লাহর ওয়াদা সত ্ য । আপনি আপনার গোনাহের জন ্ যে ক ্ ষমা প ্ রর ্ থনা করুন এবং সকাল-সন ্ ধ ্ যায় আপনার পালনকর ্ তার প ্ রশংসাসহ পবিত ্ রতা বর ্ ণনা করুন ।"
64,The on duty doctor of Jiban Tari examined Mita and informed her father that she could be cured through surgery...The surgery was performed and stitches were removed after a week.,"মিতাকে পরীক্ষা করে জীবনতরী’র ডিউটি ডাক্তার তার বাবাকে জানায়, অস্ত্রপচার করলেই মিতা ভালো হয়ে যাবে। জীবনতরী’র ডেকেই মিতার শৈলচিকিৎসা হয়। এক সপ্তাহ পরে সেলাই কেটে দেয়া হয়।"
65,The perpetrators successfully 'fled leaving them in a pool of blood.',দুষ্কৃতিকারীরা 'তাদের রক্তের বন্যায় ভাসিয়ে রেখে পালিয়ে যেতে সক্ষম হয়' সফলভাবে।
66,Health Minister Datuk Seri Dr S. Subramaniam assured the public that the decision would prevent the charging of very high fees during medical consultations:,"স্বাস্থ্যমন্ত্রী দাতুক সেরি ডা: এস সুব্রামানিয়াম জনগণকে আশ্বস্ত করেছেন, সরকারের এই সিদ্ধান্তের ফলে চিকিৎসকদের কনসালটেশন ফিস বেশি নেয়াটা থামানো যাবে:"
67,"Low power PCs and VoIP phones were installed in schools, health centers and parish offices, bringing Internet, phone and Intranet connectivity to remote areas.",এটি উত্তর উগান্ডার গুলু আর আমুরু জেলায় ভূতপূর্ব অভ্যন্তরীণ স্থানচ্যুত ব্যক্তিদের ক্যাম্পকে কাভার করে।
68,"Without doubt We shall test you until We know those who struggle and are patient among you , and make clear your news .",আমি অবশ ্ যই তোমাদেরকে পরীক ্ ষা করব যে পর ্ যন ্ ত না ফুটিয়ে তুলি তোমাদের জেহাদকারীদেরকে এবং সবরকারীদেরকে এবং যতক ্ ষণ না আমি তোমাদের অবস ্ থান সমূহ যাচাই করি ।
69,"There are no estimates of the number of Armenian AIDS/HIV+s who have left the country in search of easier, cheaper and more confidential access to treatment.","সহজতর, সস্তা এবং অত্যধিক গোপনীয়তায় চিকিৎসা করার মানসে যে সকল আর্মেনিয়ান এইডস/এইচআইভি+ লোকজন দেশত্যাগ করেছে তাদের কোন সঠিক পরিসংখ্যান নেই।"
70,There's blood on her bed Hakan.,"তার বিছানা রক্তে পরিপূর্ণ, হাকান."
71,The earth was soaked red and the fragrant smell of the hasnahana flower was overpowered with the stench of blood.,মাটি রক্তে লাল হয়ে গিয়েছিল এবং হাসনাহেনা ফুলের গন্ধ মিইয়ে গিয়েছিল তাজা রক্তের গন্ধে।
72,"""The Brazilian authorities have re-issued a health alert for visitors coming to Brazil and intending to visit certain regions of the country where yellow fever is endemic"".","""ব্রাজিলের কর্তৃপক্ষ সে দেশে আসা পর্যটকের উদ্দেশ্যে একটি সতর্কবাণী দিয়েছে এই মর্মে যে দেশের বেশ কিছু স্থানে ইয়েলো ফিভারের প্রাদুর্ভাব দেখা দিয়েছে।"
73,I've already mentioned in a link that Dr. István Seffer would deal with stem cells at the private plastic surgery clinic in Kaposvár.,আমার সন্তানের স্টেম সেল চিকিৎসার জন্য। তিনি কাপোসভারে এক প্রাইভেট প্লাস্টিক সার্জারি ক্লিনিকে এই চিকিৎসা করতেন।
74,"[ Moses ] said , "" You will find me , if Allah wills , patient , and I will not disobey you in [ any ] order . ""","তিনি বললেন -- ''ইন্ শা আল্লাহ্ আপনি আমাকে এখনি ধৈর্যশীল পবেন, এবং আমি কোনো বিষয়ে আপনাকে অমান্য করব না।’’"
75,Andrina Schwartz visited the hospital and shared her reactions in a post titled 'Hope Floats':,হাসপাতাল ঘুরে তিনি ‘আশার তরী’ শিরোনামে ব্লগ পোস্ট করেন:
76,Is there enough beds in the hospital where patients can stay to be observed by the medical professionals?,রোগীদের হাসপাতালে রেখে ডাক্তাররা যাতে পর্যবেক্ষন করতে পারেন এমন পর্যাপ্ত শয্যা ব্যাবস্থা হাসপাতালে আছে কি?
77,"When the cancer, which was made of him... stopped his heart, which was also made of him.",যখন ওর ক্যান্সার... ওর হৃদয়টাকে থামিয়ে দিল
78,"RFE/RL quotes some loyal employees who claim that they saw him “just a half-hour ago” and that “thank god, he is in good health.”","আরএফই/আরএল উদ্ধৃতি দিয়ে জানায় কিছু অনুগত কর্মচারী দাবী করেছে যে তারা তাকে “স্রেফ আধ ঘণ্টা আগে” দেখছে এবং “আল্লাহ্ ধন্যবাদ যে, তিনি ভাল স্বাস্থ্যের অধিকারী."
79,"What is sad is that being such a core ally of the United States in the war against terror, our government has been able to achieve nothing in this regard, and the treatment a Pakistani citizen has received is just appalling.""","এখানে যে বিষয়টি বেদনাদায়ক যে সন্ত্রাসের বিরুদ্ধে লড়াইয়ে যুক্তরাষ্ট্রের অন্যতম এক সহযোগী হওয়া সত্ত্বেও এ ব্যাপারে আমাদের সরকার কোনকিছু করতে সমর্থ হয়নি এবং পাকিস্তানের এক নাগরিকের উপর এ রকম এক ঘটনায় তারা কেবল আবেদন জানিয়েছে""।"
80,"As protesters were preparing to rally on June 12, 2014, against the large amount of public money spent on the sporting event instead of on services like health and education, Brazil's military police launched an aggressive crackdown on the group.","অন্যদিকে স্বাস্থ্যসেবা, শিক্ষাখাতে বিনিয়োগে একেবারে লবডঙ্কা। আর এর প্রতিবাদ জানাতেই ১২ জুন, ২০১৪ প্রতিবাদ মিছিলের আয়োজন করেছিল বিক্ষোভকারীরা। কিন্তু ব্রাজিলের মিলিটারি পুলিশ বিক্ষোভকারীদের নৃশংসভাবে দমন করে।"
81,You can buy sick leave doctor online! (more from Shanghaiist),আপনারা অনলাইনে অসুস্থ হবার জন্যে ছুটি পাবার নিমিত্তে ডাক্তারের নির্দেশ কিনতে পারেন! (আরও জানাচ্ছে সাংহাইস্ট)
82,Young schoolgirls lie unconscious on the lawn of a hospital in the capital city of the northern Takhar province after being poisoned at their school.,স্কুলে বিষাক্রান্ত কিছু কিশোরী স্কুলছাত্রী উত্তরের তাকহার প্রদেশের রাজধানীর একটি হাসপাতাল প্রাঙ্গণে অচেতন অবস্থায় পড়ে আছে।
83,@samwaddah sarcastically added what some skeptics thought was a defection rather than a routine medical trip :,"@সামাহওয়াদ্দা বিদ্রুপের ছলে কিছু হতাশা ব্যক্ত করেছেন, তার ভাবনায় হাদির এই যাত্রা তার শারীরিক অবস্থা যাচাই-এর জন্য নয়, এটা আসলে পালিয়ে যাওয়া।"
84,The salaries they give to medical residents there are way better than those they give to residents in the US.,ডাক্তারদের বেতন সেখানে যুক্তরাষ্ট্রের থেকে ভাল।
85,And blood of the enemy forcibly taken.,আর দুশমনের রক্ত... ...নেওয়া হল.
86,"Balancing profession and passion, Hisham has spent many years working to improve the lives and well-being of Moroccans, both as a civil society advocate and as a medical doctor.",পেশা ও আবেগের ভারসাম্য রেখে হিশাম একটি সুশীল সমাজের কর্মী হিসাবে এবং একজন চিকিৎসক হিসেবে মরক্কোবাসির জীবন মঙ্গলময় ও উন্নত করার জন্য অনেক বছর ধরে কাজ করেছেন।
87,"Her last name is known, this woman in a white gown, ""Doctor Death.""","সাদা গাউন পরা এই মহিলার নাম ছিল, “ডক্টর ডেথ”, তার নামের এই শেষ অংশটা কেবল জানা গেছে।"
88,"Maruf Raihan Khan, a student of 3rd year of this medical college has experienced the situation and shared in Doctors Cafe facebook page:",এই কলেজের তৃতীয় বর্ষের ছাত্র মারুফ রায়হান খান দেখেছেন আহত মানুষের অবস্থা। তিনি ডক্টরসক্যাফেতে লিখেছেন:
89,Ebola virus under an electron microscope.,অণুবীক্ষণ যন্ত্রের নিচে ইবোলা ভাইরাস।
90,These medical specialists are considered skilled and experienced with valued diplomas from Soviet universities.,এই চিকিৎসা বিশেষজ্ঞদের দক্ষ এবং অভিজ্ঞ বলে মনে করা হয় যাদের সোভিয়েত বিশ্ববিদ্যালয়ের ডিপ্লোমাধারী।
91,"Doctor says refugees fear reprisals and incitement in aftermath of Arsal events. — Kareem Shaheen (@kshaheen) August 8, 2014","ডাক্তার বলেছেন, শরনার্থীরা এক দেশের প্রতি অন্য দেশের যুদ্ধকালীন অন্যায়ের সমুচিত জবাব দিতে ভয় পান।"
92,"He also goes on to explain about the inspiration for most of his songs, mainly based on events that happened in his village, giving a nice perspective to what life used to be like in Cahuita in a time when moonlit nights hosted impromptu concerts, the streets were of grass and medical emergencies had to be evacuated by paddling up the coast to the port city of Limon:","একই সাথে তিনি তার গান গাওয়ার উৎসাহ কোথা থেকে পেয়েছেন, সেটি ব্যাখ্যা করেছেন। মূলত এই সব ঘটনা তার গ্রামে ঘটত, যা এক চমৎকার দৃষ্টিভঙ্গিকে তুলে ধরে যে, কাহুইতা গ্রামের জীবন এক সময় কেমন ছিল। যখন রাতে চন্দ্রালোকে, আবেগ দিয়ে গান বাজনার আয়োজন করা হত, তখন রাস্তাগুলো ছিল ঘাসের এবং জরুরী চিকিৎসার প্রয়োজনে দৌড়ে বন্দর নগরী লিমনের দিকে চলে যাওয়া যেত:"
93,A trust existed between the patient and employee.,রোগী এবং কর্মচারীদের মধ্য বিশ্বাসের সম্পর্ক রয়েছে।
94,She may think I'm giving cigarettes and spoiling Ajay's health.,সে ভাবতে পারে আমি অজয়কে সিগারেট দিয়ে ওর স্বাস্থ্য খারাপ করছি।
95,"They advised the Iranian Ministry of Health, helped secure funds for the government’s HIV/AIDS programs, trained health workers in Iran, and neighboring countries — areas with the highest rates of injecting drug addicts in the world.","তারা ইরানী স্বাস্থ্য মন্ত্রণালয়কে পরামর্শ দিয়েছে, সরকারের এইচআইভি/এইডস প্রোগ্রামের জন্য অর্থ জোগাড়ে সাহায্য করেছে, ইরান আার পার্শবতী দেশে স্বাস্থ্য কর্মীদের প্রশিক্ষণ দিয়েছে। অত্র অঞ্চলে ইঞ্জেকশনের মাধ্যমে মাদকগ্রহনকারী সংখ্যা পৃথিবীতে সব থেকে বেশী।"
96,We've already been to this hospital.,আমরা একবার তো এই হসপিটালে এসেছি।
97,"Turns out, you're not the only half-blood who's hard to kill.","দেখ, তুমিই একমাত্র হাফ-ব্লাড না যাকে মেরে ফেলা কঠিন।"
