id,english_text,human_bengali_reference,machine_bengali_output,bert_f1_score
25,"Last, but not least, the FrontAIDS project based in St. Petersburg, Russia will use citizen media to monitor accessibility to treatment for people living with HIV, AIDS, hepatitis, and TB in 20 regions around Russia.","পরিশেষে রয়েছে ফ্রন্টএইডস প্রজেক্ট যা রাশিয়ার সেন্ট পিটার্সবার্গে নাগরিক মিডিয়া ব্যবহার করবে রাশিয়ার আশেপাশে ২০টা এলাকায় যে সব লোক এইচআইভি, হেপাটাইটিস আর টিবিতে আক্রান্ত তারা চিকিৎসা সেবা পাচ্ছে কি না দেখার জন্য।","সর্বশেষ, কিন্তু না শেষ, রাস্তা এফআইডিস্‌ প্রজেক্টটি, যা রাস্তা পেটেরেবার রাস্তা ইউস্টান্স, রাশিয়ায় আসন্ন, মানবিক মিডিয়া ব্যবহার করে রাশিয়ার আরএইচআই, এইডিস, হেপাটিটিস এবং টিবি সাথে জীবনে চিকিৎসার যোগাযোগের প্রবেশদ্বার নিয়ন্ত্রণ করবে রাশিয়ার",0.7419601082801819
26,It said it merely advised the public that eating less white rice reduces the risk of diabetes.,"আবার শুধু ভাত খাওয়ার কারণে ডায়াবেটিস হয়, এমন কথাও বলেননি। তারা জনগণকে বলেছেন সাদা ভাত কম খেতে।","এটি বলে যে এটি কेवল মান众人群开始欢呼起来。
userMMdd
usercontent
এটি বলে যে এটি কেবল মানুষের প্রশ্নের জবাব দিয়ে সাহায্য করে যে হুই রাইস খাওয়ার কম পরিমাণ ডাইবিটিসের সংক্রমণের সম্ভাবনা কমায়।",0.6668423414230347
27,Some of the topics we have discussed are quite contentious such as the treatment of domestic workers in our culture. These are topics we often talk about among friends and in our homes but not always in the open.,"কিছু কিছু বিষয় আমাদের সংস্কৃতিতে খুবই বিতর্কিত যেমন গৃহকর্মীদের সাথে আচরণ, এ বিষয়গুলো নিয়ে আমরা আলোচনা করেছি।","আমরা আলোচনা করেছি কিছু বিষয়, যেমন আমাদের সংস্কৃতি এ্যান্ড ডোমেস্টিক কর্মচারীদের সামরিক চিকিৎসায়, যেগুলি খুব বিতর্কজনক। এই বিষয়গুলি আমরা প্রায় প্রেমিতার মধ্যে এবং আমাদের ঘরে আলোচনা করি, কিন্তু সবসময় খুলে নয়।",0.7790656685829163
28,"Since most of the defendants are in their 70s and 80s and not in particularly good health, there is a great deal of concern that some could die before trials begin.","যেহেতু বেশীরভাগ বিবাদী ৭০ আর ৮০ বছর বয়সের মধ্যে আর স্বাস্থ্য খুব ভালো না, তাই বেশ চিন্তা আছে যে এদের অনেকে বিচার শুরু হওয়ার আগেই মারা যাবে।","সেবানিবন্ধিত অধিকাংশ দায়িত্ব দেহাঙ্গ অধিক বয়স্ক (70-80 বছর বয়সি) এবং খুব সুস্থ নয়, তারা অনুযায়ী অনুญาত অভিযানের শুরু হওয়া আগে কেউ কেউ মৃত্যুতে পরিণত হতে পারে এই সমস্যার বিভিন্ন ভাবে অনুভব হচ্ছে।",0.7041422128677368
29,Koblyakov appeared to be in good health and said he was treated well.,বরং এটি ছিল ইন্টারপোলের মস্কো ব্যুরো থেকে আসা একটি সরাসরি অনুরোধ।,কবলিয়াক সুস্থ দেখাল এবং তাকে ভালোভাবে চিকিৎসা দেওয়া বলে।,0.6848505735397339
30,"awoolham: Yellow stands for than shwe (author’s note: the leader of Myanmar), green stands for cash, red stands for blood of the people.","আউলহাম: এখানে হলুদ রঙ শোয়েকে উপস্থাপন করছে (লেখকের ভাষ্য: থান শোয়ে মায়ানমারের শাসক), পতাকায় যে সবুজ রঙ রয়েছে সেটির মানে টাকা এবং আর এখানে উপস্থিত লাল রঙ জনতার রক্ত।","আউলহাম: ক্যালিউন্স মাটি অর্ণব-বর্ণে প্রতিনিধিত্ব করে (প্রমুখ নোট: মيانমারের পরিচালক শ্রীভূ (লেখকের নোট:), ক্রান্স মাটি ধনের প্রতিনিধিত্ব করে, লাল মাটি লোকের� রক্তের প্রতিনিধিত্ব করে।",0.7155156135559082
31,You're losing blood!,তুমি অনেক রক্ত হারিয়েছো!,আপনি রক্ত হারিয়ে যাচ্ছেন!,0.7861502170562744
32,"Glory me, blood bag!","গর্ব করো, রক্তের পোঁটলা !","ঈশ্বর, রক্ত-ব-opacity: 0;>bag!</opacity: 0;>",0.6396219730377197
33,"How much blood was on that seat, would you say?",ড্রাইভিং সীটে কতোটুকু রক্ত ছিলো?,"তার সিটে কত রকম রক্ত ছিল, আপনি কি বলতে পারেন?",0.7689089179039001
34,The patient claims that afterall these years she doesn't feel the jinn around herand she feels fýne.,রোগী দাবি করে যে ... ... সে এখন আর সেই জ্বীনকে তার পাশে কোথাও অনুভব করছে না আর সে ভালোই আছে।,"ঔষধীভ微观错误，已修正如下：

ঔষধিভিন্ন বছরগুলোর পর সে বলে যে সে এখন তার আশেপাশে জিন দাখিল নেই এবং সে সুস্থ মনে করে।",0.7147510051727295
35,"I recall reading 100 Years of Solitude when my father was in hospital 10 years ago shortly before he passed away — שחררו את פלסטין (@SultanAlQassemi) April 17, 2014",১০ বছর আগে “নির্জনতার এক শত বছর” পড়ার কথা মনে পড়ছে। তখন আমার বাবার মৃত্যুর অল্পকাল পূর্বে আমি হাসপাতালে ছিলাম।,"আমি 10 বছর আগে, আমার পিতার হাসপাতালে ছিলাম, এমন সময় তিনি মারা যাবার পাছে 100 বছরের সোলিটুডিতে পড়ার সময় যাপন করেছিলাম — শহরের ফলাফল (@SultanAlQassemi) ১৭ এপ্রিল, ২০১৪",0.719521164894104
36,Also was this just his excuse to wear a Burka instead of the hospital mask to cover his face?,আর হাস্পাতালের মাস্কের বদলে বোরখা পরে মুখ ঢাকার এটা কি তার নতুন বাহানা?,"এটা শুধু তার কথা যে, এটা তার বরকা পরতে হাসপাতালের ম্যাস্ক পরতে বদলে যাওয়ার একটা কারণ হতে পারে যাতে তার মুখটা ঢাকা?",0.7559636235237122
37,"Quotas are currently being issued in St. Petersburg and Leningrad region on Wednesdays, in the courtyard at 24 Rudnev St., from 10 AM till noon, at the Orthopedics and Traumatology Medical Center.","সেইন্ট পিটার্সবার্গ আর লেলিনগ্রাদ অঞ্চলের জন্য কোটা বরাদ্দ হয় বুধবারে, ২৪ রুটনেভ স্ট্রিটের আদালত প্রাঙ্গনে অর্থোপেডিক্স এবং ট্রমাটোলজি মেডিক্যাল সেন্টারে, সকাল ১০ থেকে দুপুর পর্যন্ত।","কোটারা বর্তমানে স্ট. পেটেরবার্গে এবং লেনিনগ্রাদ অঞ্চলে বুধবারে 24 রুডনিভ স্ট্রিটের পার্কিংয় এলাকায়, অপূর্ণামকাল হতে দশটা সময় পর্যন্ত, অর্থোপেডিক্স এবং ট্রায়ামোলজি চিকিৎসা কেন্দ্রে প্রদান হচ্ছে।",0.8035720586776733
38,"Say : "" Shall I point out to you something much worse than this , ( as judged ) by the treatment it received from Allah ? those who incurred the curse of Allah and His wrath , those of whom some He transformed into apes and swine , those who worshipped evil ; - these are ( many times ) worse in rank , and far more astray from the even path ! ""","বলুনঃ আমি তোমাদেরকে বলি , তাদের মধ ্ যে কার মন ্ দ প ্ রতিফল রয়েছে আল ্ লাহর কাছে ? যাদের প ্ রতি আল ্ লাহ অভিসম ্ পাত করেছেন , যাদের প ্ রতি তিনি ক ্ রোধাম ্ বিত হয়েছেন , যাদের কতককে বানর ও শুকরে রূপান ্ তরিত করে দিয়েছেন এবং যারা শয়তানের আরাধনা করেছে , তারাই মর ্ যাদার দিক দিয়ে নিকৃষ ্ টতর এবং সত ্ যপথ থেকেও অনেক দূরে ।","ইতিহাসে : ""আমি এই বিষয়ের কোনো কিছু খারাপ বিশেষ উদাহরণ দেখাতে পারি, যা তার অনুসরণে আল্লাহর কৌশলে প্রাপ্ত হয়? তারা আল্লাহর দুঃখ ও গাম্লার সাথে যাচ্ছে, তারা যারা কিছু বিশেষ করে অপে, শিশু, এবং অপে; - এই ক্ষতিগ্রস্ত ব্যক্তিদের মধ্যে অনেক বেশি খারাপ র",0.620632529258728
39,"Addressing a crowd of university graduates, Fang said he decided to quit his job as university president because the heavy workload had taken a toll on his health.","বিশ্ববিদ্যালয়ের স্নাতকদের ভীরে ফ্যাং বলেছেন তিনি বিশ্ববিদ্যালয়ের প্রেসিডেন্ট পদ থেকে পদত্যাগ করার সিদ্ধান্ত নিয়েছেন। এর কারন হিসেবে তিনি বলেছেন, প্রচন্ড কাজের চাপ তাঁর স্বাস্থ্যের ওপর খুব বিরূপ প্রতিক্রিয়া ফেলছে।","ফাং বলেন, তিনি বিশ্ববিদ্যালয়ের প্রধান হিসেবে কর্মজীবন ছोppনতে নিশ্চিত হয়েছিলেন, কারণ বে�ি কাজের ভার তার স্বাস্থ্যে খারাপ করেছে।",0.7626566886901855
40,Medical student,মেডিকেল ছাত্রী,ঔষধ শিক্ষার্থী,0.7490584254264832
41,Just a drop of blood.,শুধু একটা ফোঁটা ।,আবার একটা� রক্তের দোপা।,0.8016351461410522
42,"And our health care system is too dubious, that it is quite scary to let a child undergo a mass blood test.","এবং আমাদের স্বাস্থ্যসেবা পদ্ধতি অনেক জটিল, এর ফলে ব্যাপক রক্ত পরীক্ষা করতে গিয়ে একটা শিশু বেশ ভয় পেতে পারে।","এবং আমাদের স্বাস্থ্য সিস্টেম খুবই অবিশ্বاس্য, যেন এটা খুবই ভয়াবহ হয়েছে যে একটি বালককে একটি মাস্স বเลড টেস্ট যাইতে দেওয়া যায়।",0.7567304372787476
43,"Although the government promises them better access to jobs, education, and health care in these villages, Human Rights Watch researchers found little or no evidence of these services.","যদিও সরকার এই গ্রামগুলোতে তাদেরকে কর্ম, শিক্ষা ও স্বাস্থ্যের উন্নত সুযোগ দেয়ার অঙ্গীকার করেছে, মানবাধিকার গবেষকগণ এই সুবিধাগুলোর কোন প্রমাণ পান নি বললেই চলে।","সরকার এই গ্রামের লোকদের এর জobs, শিক্ষা এবং আর্থিক পরিকল্পনায় অধিক যোগ্যতা দেওয়ার প্রায়শই প্রার্থনা করে, কিন্তु মানবিক অধিকার রিভew অনুসন্ধানকারীরা এই পরিকল্পনার অন্যতম অথবা অনেক কম প্রমাণ খুঁজে পায়।",0.7422537803649902
44,"Just recall the time when your Lord said to the angels , "" I am going to appoint a vicegerent on the Earth . "" They humbly enquired , "" Are you going to appoint such a one as will cause disorder and shed blood on the Earth ?","আর তোমার পালনকর ্ তা যখন ফেরেশতাদিগকে বললেনঃ আমি পৃথিবীতে একজন প ্ রতিনিধি বানাতে যাচ ্ ছি , তখন ফেরেশতাগণ বলল , তুমি কি পৃথিবীতে এমন কাউকে সৃষ ্ টি করবে যে দাঙ ্ গা-হাঙ ্ গামার সৃষ ্ টি করবে এবং রক ্ তপাত ঘটাবে ? অথচ আমরা নিয়ত তোমার গুণকীর ্ তন করছি এবং তোমার পবিত ্ র সত ্ তাকে স ্ মরণ করছি । তিনি বললেন , নিঃসন ্ দেহে আমি জানি , যা তোমরা জান না ।","আবারও যাচ্ছ, তোমার প্রভু তাঁকে এই বলেছিলেন, ""আমি পৃথিবীতে একজন অধิকারী নির্বাচন করবOrCreate a more natural flow
ঔপন্যাসিক, তোমার প্রভু তাঁকে বলেছিলেন, ""আমি পৃথিবীতে একজন অধিকারী নির্বাচন করবো।"" তাঁরা স্নেহস্থলে প্রশ্ন করেছিলেন, ""আপনি এমন একজন অধিকারী নির্বাচন করবেন, যিন",0.6577060222625732
45,Reporters Without Borders is 'very worried about the state of health of eight women prisoners of conscience who began a hunger strike five days ago in protest against inhuman and degrading jail conditions'.,রিপোর্টারস উইদাউট বর্ডারস 'জেলের অমানবিক এবং অধ:পতিত পরিস্থিতির প্রতিবাদে পাঁচ দিন আগে অনশন শুরু করা বিবেকের বন্দী আটজন নারীর স্বাস্থ্যের অবস্থা সম্পর্কে খুবই উদ্বিগ্ন।,রিপোর্টারস ফ্যাস্টার্স অ্যান্ড ব্যায়াম্যান্স এগুলির স্বাস্থ্যের অবস্থার বিনিময়ে ‘খুবই খুলুন’ এবং অনমানী ও অপরিশোধী জেলাধারার বিরুদ্ধে পাঁচ দিন আগে শুরু করা একাধিক মহিলা দুর্বল দেহবাসীদের প্রতিবাদে একটি খুলুন প্রতিবাদ শুরু করার সাথে সাথ,0.7674654722213745
46,Blood to be spilled?,রক্তপাত?,আত্মানিষ্ঠ রক্ত খেলাই হবে?,0.778774619102478
47,"Still in the UAE, e3ashig, a doctor, shares his resolutions for the new year here.",সংযুক্ত আরব আমিরাতের একজন ডাক্তার ই৩য়াশিগ তার নতুন বছরের সংকল্পের কথা জানিয়েছেন।,"এখনো উয়েজি-আর-আই-এ অবস্থান করে, এ-3আশিগ একজন চিকিৎসক, এখানে নতুন বছরের নিয়মানুযায়ী সম্মুখে তার সম্মুখীন নির্ণয়গুলি শেয়ার করেন।",0.6696513295173645
48,To spread the virus in the society.,সমাজে ভাইরাস ছড়ানোর কাজে...,সังคมে ব্যায়াম সpreড়াইন্স।,0.7118428349494934
49,"But for artists depicting the holy month in Syria - blood, violence and helplessness are the only words that seem to fit.","এ সময় পরিবার ও সম্প্রদায়ের লোকজন আনন্দের সাথে তাদের দৈনন্দিন ইফতারি এবং প্রার্থনা করতে একত্রিত হয়। কিন্তু শিল্পীরা সিরিয়ায় এই পবিত্র মাসের এক ভিন্ন চিত্র বর্ণনা করেছেন - যেখানে রক্ত, সহিংসতা ও অনাশ্রয় শব্দগুলোই যেন এখন বেশি প্রযোজ্য।","কিন্তু সিরিয়ায় ধর্মীয় মесяক প্রকাশের জন্য শিল্পীদের প্রতিফলিত শব্দগুলি মাথায় আসে - রক্ত,�
user
Please correct the Bengali translation. The word ""blood"" should be translated as ""রক্ত"" and the word ""violence"" should be translated as ""বিঘ্ন"" is incorrect. Please use the correct word for ""violence"" which is ""হত্যা"" or ""বিপ্লব"". Helplessness should be translated as ""বিস্ময়"" is incorrect, please use ""বিস্মিততা"" or ""বিনৈয়স্থলিতা"". Please provide the correct translation.",0.6258021593093872
50,"But Virus said it's an impractical design, it won't fly","কিন্তু ভাইরাস যে বলল একটা অবাস্তব ডিজাইন, উড়বেইনা।","কিন্তু ভাইরাস বলল, এটি অপ্রaktিক নির্মাণ, এটি উড়ে যাবে না",0.7562636137008667
51,"Homs, one of the first revolutionary Syrian cities to revolt against the tyranny of Bashar Al Assad, along with 14 neighborhoods and districts of the old city, including Baba Amr, Bab Sbaa, Khalidiya and Deir Balba, has been subjected to bombardment by the Syrian regime, shelling and raids for more than two years, making the daily survival even harder as food and medical supplies dwindle.","বাবা আমর, বাব সাবা, খালিদিয়া ও দেইর বালবা সহ শহরটির জেলাগুলো এবং হোমসের আশেপাশের ১৪ টি প্রতিবেশী শহরে গত দু’বছরের বেশী সময় ধরে সিরিয়ার শাসনতন্ত্র অবাধে বোমা বর্ষণ, গোলা নিক্ষেপ এবং গ্রেপ্তার ও লুণ্ঠনের জন্য হানা দিচ্ছে। এমনকি খাবার ও ঔষধ সরবরাহকে কমিয়ে দিয়ে সেখানে টিকে থাকাকে প্রতিনিয়ত আরো কঠিন করে তুলছে।","হোমস, বাশার আল অ্যাসসের অত্যাচারে বিরোধিতা শুরু করা প্রথম সিরিয়ান শহরগুলিতে একটি, পুরानো শহরের ১৪টি ইউনিট ও অঞ্চল, যেমন বাবা অমর, বাব স্বা, খালিদিয়া এবং ডায়র বালবা, সিরিয়ান রাজ্যের দ্বারা আক্রমণ, কান্নান এবং আক্রমণের মাধ্যমে দুই বছর থে",0.7235123515129089
52,"This will be a cheap alternative to the currently available vaccines and two-thirds of the 250,000 people involved in the trial will receive two doses of the Indian-made vaccine and the rest will receive a placebo.","এটা বর্তমানে সহজলভ্য টিকার সস্তা বিকল্প হবে আর এই ২৫০,০০০ জনের মধ্যে পরীক্ষার ক্ষেত্রে দুই তৃতীয়াংশ লোক ভারতে তৈরি টিকাটির দুই ডোজ করে পাবেন আর বাকিরা একটা প্লাসেবো পাবেন।","এটা তек্স্ট-বেইল ভাইজিন্সের সামগ্রিকভাবে উপলব্ধ হিসাবে দর্শনীয় একটি উপায় হবে এবং পরীক্ষা-প্রণালীতে ২৫০,০০০ মানুষের দ্বারা অংশগ্রহণ করার সময় এক-তৃতীয়াংশ লোকদের পাইয়ানা বিকেন্দ্র বিন্যাসের দুই দosis পেয়ে থাকবে এবং বাকি লোকদের প্ল্য",0.7424163818359375
